NAME,SSN,LANGUAGE,JOB,HEIGHT_M,WEIGHT_KG,fev_pct,dyspnea_description,distance_in_meters,hospital
Susan Ware,492-76-0992,Kashmiri,Dentist,1.7,91.06,48.9,UNABLE TO LEAVE HOME,195.27,ST.MARY'S
Jordan Gallegos,584-59-4203,Swedish,Retail buyer,1.69,96.79,51.2,STOPS AFTER 100 YARDS,144.73,MISSOURI BAPTIST
Kara Bennett,080-66-0172,Belarusian,Geographical information systems officer,1.68,81.72,99.28,SLOWER THAN PEERS,383.74,SAINT LOUIS UNIVERSITY
Jason Clayton,136-20-3983,Tamil,Analytical chemist,1.74,96.67,63.55,WALKING UPHILL,332.91,BJC WEST COUNTY
Lauren Bradley,507-43-1378,Zhuang,Teaching laboratory technician,1.67,108.78,50.12,SLOWER THAN PEERS,209.03,SAINT LOUIS UNIVERSITY
Pamela Clayton,629-07-6278,Japanese,Fitness centre manager,1.78,113.77,46.61,BREATHLESS WHEN DRESSING,243.69,BJC WEST COUNTY
Kristina Cowan,374-35-4809,Armenian,Art therapist,1.68,97.46,75.68,STOPS WHEN WALKING AT PACE,286.36,ST.LUKE'S
Anthony Hanson MD,335-62-6271,Pali,Broadcast journalist,1.51,97.21,98.97,UNABLE TO LEAVE HOME,39.09,MISSOURI BAPTIST
Amanda Johnson,133-63-6441,Romansh,Chemist analytical,1.54,100.61,32.09,STOPS AFTER 100 YARDS,126.59,SAINT LOUIS UNIVERSITY
Carl Short,501-56-4997,Xhosa,Acupuncturist,1.59,108.02,57.96,STOPS AFTER A FEW MINUTES,226.58,BJC
Taylor Price,853-56-7790,Bashkir,Purchasing manager,1.61,86.3,88.14,BREATHLESS WHEN DRESSING,178.17,SAINT LOUIS UNIVERSITY
Katie Davis,493-35-0456,Tswana,Learning mentor,1.71,94.13,40.89,SLOWER THAN PEERS,371.1,ST.MARY'S
Alison Duncan,640-21-3077,Sindhi,Art gallery manager,1.71,87.1,55.55,WALKING UPHILL,338.51,ST.MARY'S
Destiny Estrada,540-77-2591,Fulah,Psychologist prison and probation services,1.63,113.59,64.81,BREATHLESS WHEN DRESSING,144.84,BJC
Ronald Montoya,856-34-8820,Lao,Actuary,1.62,80.27,36.82,BREATHLESS WHEN DRESSING,253.9,SAINT LOUIS UNIVERSITY
Brooke Baker,284-65-6821,Bihari languages,Advice worker,1.76,80.74,26.83,STOPS AFTER 100 YARDS,65.59,BJC
Kristen Williams,431-26-7390,Latvian,Surveyor building,1.52,111.36,33.35,BREATHLESS WHEN DRESSING,262.29,ST.LUKE'S
Jacob Levine,824-78-7214,Twi,Tourism officer,1.55,82.25,30.94,ONLY STRENUOUS EXERCISE,228.23,ST.LUKE'S
